input_text,answer
when did the eagles win last super bowl,2017
who won last year's ncaa women's basketball,South Carolina
when did the isle of wight become an island,During the last Ice Age
love yourself by justin bieber is about who,Rihanna
who was the ruler of england in 1616,James I
what is the hot coffee mod in san andreas,a normally inaccessible mini-game
what is the maximum data rate for the 802.11a standard select one,54 Mbit/s
who sang i ran all the way home,The Impalas
where did the last name wallace come from,a Scottish surname
who was the actor that played ben stone on law and order,Michael Moriarty
who plays gram on the young and the restless,Max Shippee
what is the oath that new citizens take,United States Oath of Allegiance
who is under the mask of darth vader,Anakin Skywalker
what age do you need to be to buy a bb gun,18
ethiopia flight 961 crashes in to the sea,23 November 1996
who plays auggie in the movie the wonder,Jacob Tremblay
who plays matthew on anne with an e,R. H. Thomson
who is the girl in green day 21 guns,Lisa Stelly
who plays joker in batman the dark knight,Ledger
who did bette midler portray in the rose,Mary Rose Foster
who is the lead singer of depeche mode,David Gahan
where did the butchers in the slaughterhouse cases live,New Orleans
who developed the concept of total quality management,W. Edwards Deming
who has the power (judicial) to make decisions in courts of law,judges
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam
who is the coach for the ottawa senators,Guy Boucher
last episode of what happens to my family,53
where is lord's prayer found in bible,in the Gospel of Luke
what is the meaning of veronica in english,she who brings victory
who played solomon in little house on the prairie,Todd Bridges
who does eric end up with in that 70s show,Donna
who wrote papa got a brand new bag,James Brown
what's the dog's name on tom and jerry,Spike
where does the path train stop in newark,Newark Penn Station
where does route 66 start on the west coast,in Santa Monica
who is the first wife on sister wives,Meri
when did houston go to the american league,2013
coldplay song i will try to fix you,"""Fix You"""
points on a sphere or angles in a circle are measured in units called,radians
the oligodynamic effect is a phenomenon that describes,a biocidal effect of metals
where does the white witch live in narnia,her castle
when was corporal punishment banned in south africa,1997
who plays captain phasma in star wars the force awakens,Gwendoline Christie
when did marathon change its name to snickers,19 July 1990
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias
who ordered the forbidden city to be built,Zhu Di
who sang let me tell you about the birds and the bees,Jewel Akens
who has the power to approve or veto legislation constitution,the President
who is the minister of local government in zimbabwe,Hon July Moyo
what was the initial effect of the transition from command to market economies in eastern europe,Inequality of opportunity
who plays the saint of killers on preacher,Graham McTavish
jonny cash one piece at a time car,Cadillac
when did amnesia the dark descent come out,8 September 2010
where is the tibia and fibula bone located,leg
who played bat masterson in the tv series,Gene Barry
who sings sugar sugar you are my candy girl,the Archies
who plays noah newman on the young and the restless,Robert Gillespie Adamson IV
who has won the most games in nfl 2017,Dallas Cowboys
who has the most catches in nfl history,Jerry Rice
when does the dlc for rainbow six siege come out,January 2018
when does season 5 of the blacklist resume,"January 31, 2018"
how much money did it cost to make gta v,137
who was the famous scientist that ran the research lab moseley went to in manchester,Sir Ernest Rutherford
who does stefan marry in the vampire diaries,Caroline Forbes
hazels boyfriend in the fault in our stars,Augustus Waters
when does the day of the dead end,November 2
where does new york drinking water come from,the eastern Catskill Mountains
where is the citrus bowl held this year,Camping World Stadium
who plays alec ramsay in the black stallion,Kelly Reno
who plays dusty in the movie pure country,George Strait
how many gold medals did australia win in the 2000 olympics,16
who started ww2 and how did it start,Nazi Germany
when did bird is the word come out,1963
how tall is the actor who plays hagrid in harry potter,6ft 1in
who performed the first c section in 1794,Dr. Jesse Bennett
who voices randy in f is for family,T.J. Miller
bible verse taking the lord's name in vain,Exodus 20:7
when does thomas rhett's new album come out,"September 8, 2017"
who won the champions league final in 2016,Real Madrid
who is the real killer in basic instinct 2,Catherine Tramell
where did the dewey decimal system come from,Melvil Dewey
where did the jungle book story come from,English author Rudyard Kipling
derek and meredith get back together season 3,Staring at the Sun
who did america declare war on in ww1,Austria-Hungary
who played zoe hart on hart of dixie,Rachel Sarah Bilson
