input_text,answer,context
What is the capital of France?,Paris,Paris is the most populous city of France.
How many continents are there?,Seven,"The seven continents are Asia, Africa, North America, South America, Antarctica, Europe, and Australia."
What is the largest ocean?,Pacific Ocean,It covers more than 63 million square miles.
Who wrote 'To Kill a Mockingbird'?,Harper Lee,The novel was published in 1960.
What is the boiling point of water?,100°C or 212°F,At sea level.
What is the fastest land animal?,Cheetah,Cheetahs can run up to 60-70 mph.
Who was the first president of the United States?,George Washington,He served from 1789 to 1797.
What is the largest planet in our solar system?,Jupiter,"Jupiter has a diameter of about 142,984 km."
What is the speed of light?,"299,792 km/s",In vacuum.
Who painted the Mona Lisa?,Leonardo da Vinci,The painting is housed in the Louvre Museum in Paris.
How many bones are in the human body?,206,An adult human has 206 bones.
What is the smallest country in the world?,Vatican City,It has an area of about 44 hectares.
What is the tallest mountain in the world?,Mount Everest,"It stands at 8,848 meters above sea level."
Who invented the telephone?,Alexander Graham Bell,He was awarded the first US patent for the invention in 1876.
What is the currency of Japan?,Yen,The symbol for yen is ¥.
Who discovered penicillin?,Alexander Fleming,He discovered it in 1928.
How many planets are in our solar system?,Eight,"The planets are Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune."
What is the chemical symbol for gold?,Au,The symbol comes from the Latin word 'aurum.'
Who is the author of 'Harry Potter'?,J.K. Rowling,The series includes seven books.
What is the longest river in the world?,Nile,"It is about 6,650 km long."
What is the hardest natural substance on Earth?,Diamond,Diamonds are made of carbon atoms.
What is the main ingredient in guacamole?,Avocado,Guacamole is a traditional Mexican dish.
What is the most spoken language in the world?,Mandarin Chinese,It has over a billion native speakers.
Who is the current president of the United States?,Joe Biden,"He took office on January 20, 2021."
What is the largest desert in the world?,Sahara Desert,It covers over 9 million square kilometers.
What is the capital of Japan?,Tokyo,Tokyo is the most populous city in Japan.
What is the chemical formula for water?,H2O,Each molecule of water consists of two hydrogen atoms and one oxygen atom.
Who developed the theory of relativity?,Albert Einstein,The theory was published in 1905.
What is the largest mammal?,Blue whale,Blue whales can weigh up to 200 tons.
Who was the first man to walk on the moon?,Neil Armstrong,"He walked on the moon on July 20, 1969."
